Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Gender
65588118483ede03e090e17f,601b154e1d236c48cb675d13,APPROVED,2023-11-18T09:17:12.624000Z,2023-11-18T09:26:21.440000Z,2023-11-18T10:21:00.450000Z,2023-11-18T09:26:21.925815Z,549.0,CBCT4R5Q,181,English,White/Caucasian,41,Male,White,Greece,Greece,Greece,Greek,No,Full-Time,
655881590638228fca919f1a,5c41f9ce4fe4f800016dfaac,APPROVED,2023-11-18T09:18:20.417000Z,2023-11-18T09:32:33.478000Z,2023-11-18T10:21:10.568000Z,2023-11-18T09:32:33.890822Z,854.0,CBCT4R5Q,587,English,Mixed,29,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Full-Time,
65588165d6ad4e548cb8b6f9,5e67444ca2235c4c1ad10d1a,APPROVED,2023-11-18T09:18:42.809000Z,2023-11-18T09:27:11.113000Z,2023-11-18T10:21:16.386000Z,2023-11-18T09:27:11.651639Z,509.0,CBCT4R5Q,274,"English, Greek",White/Caucasian,43,Male,White,Greece,Greece,Greece,Greek,No,Full-Time,
655881838072fc8a60036886,6163d356472f53c054893857,APPROVED,2023-11-18T09:22:19.914000Z,2023-11-18T09:57:36.136000Z,2023-11-18T10:21:28.825000Z,2023-11-18T09:57:36.621906Z,2117.0,CBCT4R5Q,279,"Afrikaans, English, French",African,27,Male,Mixed,South Africa,South Africa,South Africa,English,No,Part-Time,
655881858efffec04778b465,612537b2bd6b4a38f4e7f63a,APPROVED,2023-11-18T09:19:07.433000Z,2023-11-18T09:27:56.004000Z,2023-11-18T10:21:22.598000Z,2023-11-18T09:27:56.483422Z,529.0,CBCT4R5Q,350,English,African,34,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,
6558818afc51460f95a55da3,6168a691414d57e7d9342bf4,APPROVED,2023-11-18T09:19:13.240000Z,2023-11-18T09:30:25.451000Z,2023-11-18T10:21:27.210000Z,2023-11-18T09:30:25.908278Z,673.0,CBCT4R5Q,181,English,African,33,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,
655881903cc84dd3699e71a4,5f04ac2d4237b675ab7b0b8e,APPROVED,2023-11-18T09:19:12.276000Z,2023-11-18T09:29:08.604000Z,2023-11-18T10:21:23.939000Z,2023-11-18T09:29:09.050250Z,597.0,CBCT4R5Q,310,"English, Greek",White/Caucasian,27,Male,White,Greece,Greece,Greece,Greek,No,Full-Time,
65588107a7e2fa20d97d230d,6169448f3994a2d71e091810,APPROVED,2023-11-18T09:18:48.638000Z,2023-11-18T09:29:52.083000Z,2023-11-18T10:21:19.616000Z,2023-11-18T09:29:52.558560Z,664.0,CBCT4R5Q,352,English,African,28,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time,
65588110e43ecf6369919dde,5fad28669a9e063b9013e542,APPROVED,2023-11-18T09:17:10.790000Z,2023-11-18T09:28:03.158000Z,2023-11-18T10:20:58.756000Z,2023-11-18T09:28:03.626778Z,653.0,CBCT4R5Q,311,English,African,28,Female,Black,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking),
65588126029061f69cd89b26,5d2d98a9a0d896001a5d6e4f,APPROVED,2023-11-18T09:17:26.838000Z,2023-11-18T09:26:28.896000Z,2023-11-18T10:21:01.743000Z,2023-11-18T09:26:29.359776Z,543.0,CBCT4R5Q,478,"Slovenian, English",White/Caucasian,36,Female,White,Slovenia,Slovenia,Slovenia,Slovenian,No,Full-Time,
